#refdes,footprint,value,description,cost,device,mfr,mfrpn,dst,dstpn,link,link_page,supplier,sbapn,kitting,kitting_d,Xpos,Ypos,rot,side
T31,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8.88,5.36,0,top
T32,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8.88,5.55,0,top
T36,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.15,6.25,0,top
T35,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.35,6.25,0,top
T40,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6.75,6.25,0,top
T39,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6.35,6.25,0,top
T50,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6.75,5.77,0,top
T46,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5.42,4.25,0,top
T45,"JUMPER1","unknown",,,terminal,,,,,,,,,,,5.83,4.25,0,top
T44,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6.23,4.25,0,top
T49,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.81,3.93,0,top
T48,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.71,3.93,0,top
T47,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.61,3.93,0,top
VSYS1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,15.33,9.99,270,top
VPSU1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,16.96,10.40,180,top
VPSU10,"HEADER2_2","unknown",generic connector,,CONNECTOR_2,,,,,,,,,,,17.05,10.85,180,top
M10,"GenericRap_Cutdown","unknown",DISTRIBUTOR NOT YET KNOWN,,GenericRap_Cutdown,,,,,,,,,,,12.89,9.04,90,top
T33,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8.88,4.96,0,top
T51,"JUMPER1","unknown",,,terminal,,,,,,,,,,,8.54,4.92,0,top
T53,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6.03,4.25,0,top
T52,"JUMPER1","unknown",,,terminal,,,,,,,,,,,6.12,4.25,0,top
T54,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.97,4.96,0,top
T55,"JUMPER1","unknown",,,terminal,,,,,,,,,,,7.97,4.86,0,top
T150,"JUMPER1","unknown",,,terminal,,,,,,,,,,,2.19,7.10,0,top
F1,"ACY900","unknown",fuse,,FUSE,,,,,,,,,,,17.10,9.60,270,top
VSW2,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,17.46,8.34,270,top
VSW1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,17.10,8.34,270,top
S1,"HEADER2_2","unknown",,,SPST,,,,,,,,,,,17.75,8.44,270,top
F2,"ACY900","unknown",fuse,,FUSE,,,,,,,,,,,17.10,7.24,270,top
