#refdes,footprint,value,description,cost,device,mfr,mfrpn,dst,dstpn,link,link_page,supplier,sbapn,kitting,kitting_d,Xpos,Ypos,rot,side
SHIELD2,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,211.81,246.26,90,top
SHIELD1,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,1091.81,246.26,90,top
BLACK,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,731.81,471.26,90,top
RED,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,891.81,446.26,90,top
GREEN,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,571.81,471.26,90,top
BLUE,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,411.81,446.26,90,top
R1,"0805","2.2k",$0.148 MOUSER 71-CRCW08052K20JNEAH,0.148,RESISTOR,Vishay / Dale,CRCW08052K20JNEAHP,Mouser,71-CRCW08052K20JNEAH,www.mouser.com/ds/2/427/crcwhpe3-46056.pdf,9,c,,tape-no-leader,,589.57,1120.00,180,bottom
STEP,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,645.16,895.68,0,top
